     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
    141355,     13179,         0,    2.86,pymatching,b7df94b45d067b23770cabce49e01be8710b60140dfb120e0a993306bf8eae53,"{""d"":5,""eta"":0.5,""memory"":""V"",""p"":0.003,""params"":{""afterCZ_bias_probability"":[0.003,0.5],""after_clifford_depolarization"":0.003,""after_reset_flip_probability"":0.003,""before_measure_flip_probability"":0.003,""before_round_data_bias_probability"":[0.003,0.5],""distance"":5,""rounds"":15}}",
      5400,       299,         0,   0.719,pymatching,a3ae42a7bc6d1de1192ce030a986411165408635ff78effbe48cf9584478b753,"{""d"":9,""eta"":0.5,""memory"":""V"",""p"":0.003,""params"":{""afterCZ_bias_probability"":[0.003,0.5],""after_clifford_depolarization"":0.003,""after_reset_flip_probability"":0.003,""before_measure_flip_probability"":0.003,""before_round_data_bias_probability"":[0.003,0.5],""distance"":9,""rounds"":27}}",
     48600,      3843,         0,    2.81,pymatching,5f2d1641c1803d10466674f83d8763974859a3666825ce33e9d4b5caf0f3a611,"{""d"":7,""eta"":0.5,""memory"":""V"",""p"":0.003,""params"":{""afterCZ_bias_probability"":[0.003,0.5],""after_clifford_depolarization"":0.003,""after_reset_flip_probability"":0.003,""before_measure_flip_probability"":0.003,""before_round_data_bias_probability"":[0.003,0.5],""distance"":7,""rounds"":21}}",
    216000,     19933,         0,    4.36,pymatching,b7df94b45d067b23770cabce49e01be8710b60140dfb120e0a993306bf8eae53,"{""d"":5,""eta"":0.5,""memory"":""V"",""p"":0.003,""params"":{""afterCZ_bias_probability"":[0.003,0.5],""after_clifford_depolarization"":0.003,""after_reset_flip_probability"":0.003,""before_measure_flip_probability"":0.003,""before_round_data_bias_probability"":[0.003,0.5],""distance"":5,""rounds"":15}}",
     48600,      3738,         0,    2.91,pymatching,5f2d1641c1803d10466674f83d8763974859a3666825ce33e9d4b5caf0f3a611,"{""d"":7,""eta"":0.5,""memory"":""V"",""p"":0.003,""params"":{""afterCZ_bias_probability"":[0.003,0.5],""after_clifford_depolarization"":0.003,""after_reset_flip_probability"":0.003,""before_measure_flip_probability"":0.003,""before_round_data_bias_probability"":[0.003,0.5],""distance"":7,""rounds"":21}}",
     16200,       999,         0,    2.20,pymatching,a3ae42a7bc6d1de1192ce030a986411165408635ff78effbe48cf9584478b753,"{""d"":9,""eta"":0.5,""memory"":""V"",""p"":0.003,""params"":{""afterCZ_bias_probability"":[0.003,0.5],""after_clifford_depolarization"":0.003,""after_reset_flip_probability"":0.003,""before_measure_flip_probability"":0.003,""before_round_data_bias_probability"":[0.003,0.5],""distance"":9,""rounds"":27}}",
     16200,      1049,         0,    2.28,pymatching,a3ae42a7bc6d1de1192ce030a986411165408635ff78effbe48cf9584478b753,"{""d"":9,""eta"":0.5,""memory"":""V"",""p"":0.003,""params"":{""afterCZ_bias_probability"":[0.003,0.5],""after_clifford_depolarization"":0.003,""after_reset_flip_probability"":0.003,""before_measure_flip_probability"":0.003,""before_round_data_bias_probability"":[0.003,0.5],""distance"":9,""rounds"":27}}",
     97200,      7379,         0,    5.80,pymatching,5f2d1641c1803d10466674f83d8763974859a3666825ce33e9d4b5caf0f3a611,"{""d"":7,""eta"":0.5,""memory"":""V"",""p"":0.003,""params"":{""afterCZ_bias_probability"":[0.003,0.5],""after_clifford_depolarization"":0.003,""after_reset_flip_probability"":0.003,""before_measure_flip_probability"":0.003,""before_round_data_bias_probability"":[0.003,0.5],""distance"":7,""rounds"":21}}",
     97200,      7531,         0,    5.92,pymatching,5f2d1641c1803d10466674f83d8763974859a3666825ce33e9d4b5caf0f3a611,"{""d"":7,""eta"":0.5,""memory"":""V"",""p"":0.003,""params"":{""afterCZ_bias_probability"":[0.003,0.5],""after_clifford_depolarization"":0.003,""after_reset_flip_probability"":0.003,""before_measure_flip_probability"":0.003,""before_round_data_bias_probability"":[0.003,0.5],""distance"":7,""rounds"":21}}",
     48600,      2912,         0,    6.69,pymatching,a3ae42a7bc6d1de1192ce030a986411165408635ff78effbe48cf9584478b753,"{""d"":9,""eta"":0.5,""memory"":""V"",""p"":0.003,""params"":{""afterCZ_bias_probability"":[0.003,0.5],""after_clifford_depolarization"":0.003,""after_reset_flip_probability"":0.003,""before_measure_flip_probability"":0.003,""before_round_data_bias_probability"":[0.003,0.5],""distance"":9,""rounds"":27}}",
